380		Shivan Reef (Borderless)
381		Sulfurous Springs (Borderless)
382		Yavimaya Coast (Borderless)
383		Anointed Peacekeeper (Extended Art)
384		Archangel of Wrath (Extended Art)
385		Defiler of Faith (Extended Art)
386		Guardian of New Benalia (Extended Art)
387		Leyline Binding (Extended Art)
388		Serra Paragon (Extended Art)
389		Temporary Lockdown (Extended Art)
390		Valiant Veteran (Extended Art)
391		Academy Loremaster (Extended Art)
392		Aether Channeler (Extended Art)
393		Defiler of Dreams (Extended Art)
394		Haughty Djinn (Extended Art)
395		Silver Scrutiny (Extended Art)
396		Sphinx of Clear Skies (Extended Art)
397		Vesuvan Duplimancy (Extended Art)
398		Vodalian Hexcatcher (Extended Art)
399		Vodalian Mindsinger (Extended Art)
400		Defiler of Flesh (Extended Art)
401		Drag to the Bottom (Extended Art)
402		Evolved Sleeper (Extended Art)
403		Shadow-Rite Priest (Extended Art)
404		Stronghold Arena (Extended Art)
405		Chaotic Transformation (Extended Art)
406		Defiler of Instinct (Extended Art)
407		Keldon Flamesage (Extended Art)
408		Radha's Firebrand (Extended Art)
409		Rundvelt Hordemaster (Extended Art)
410		Shivan Devastator (Extended Art)
411		Temporal Firestorm (Extended Art)
412		Defiler of Vigor (Extended Art)
413		Herd Migration (Extended Art)
414		Leaf-Crowned Visionary (Extended Art)
415		Llanowar Greenwidow (Extended Art)
416		Llanowar Loamspeaker (Extended Art)
417		Quirion Beastcaller (Extended Art)
418		Silverback Elder (Extended Art)
419		Threats Undetected (Extended Art)
420		Urborg Lhurgoyf (Extended Art)
421		Plaza of Heroes (Extended Art)
422		Thran Portal (Extended Art)
423		Serra Redeemer (Extended Art)
424		Cosmic Epiphany (Extended Art)
425		Tyrannical Pitlord (Extended Art)
426		Ragefire Hellkite (Extended Art)
427		Briar Hydra (Extended Art)
428		Llanowar Loamspeaker
429		Herd Migration
430		Resolute Reinforcements
431		Micromancer
432		Cut Down
433		Lightning Strike
434		Nishoba Brawler
435		Sheoldred, the Apocalypse
436		Sheoldred, the Apocalypse
